area,sub_area,UNHCR_outcome_area,date_collection,indicator,value,population_group,location,comment,source,publication,data_source,tags,publicly_available_microdata,publicly_available_methodology,publicly_available_questionnaire,methodology_overview,limitations
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2215,"% of respondents who indicated ""employment in host country"" as one of the main reasons for not hoping to return to Ukraine one day",19,refugee,Regional,Indicator based on multiple responses question.,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; job; employment,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2216,"% of respondents who indicated ""lack of information"" as one of the main reasons for not hoping to return to Ukraine one day",29,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; information,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2217,"% of respondents who indicated ""lack of housing in Ukraine"" as one of the main reasons for not hoping to return to Ukraine one day",29,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; housing; home,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2218,"% of respondents who indicated ""employment in host country"" as one of the main reasons for not hoping to return to Ukraine one day",29,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; job; employment,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2219,"% of respondents who indicated ""employment in host country"" as one of the main reasons for not hoping to return to Ukraine one day",21,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; job; employment,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2220,"% of respondents who indicated ""child education in host country"" as one of the main reasons for not hoping to return to Ukraine one day",21,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; basic services; education; school,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2221,"% of respondents who indicated ""employment in host country"" as one of the main reasons for not hoping to return to Ukraine one day",16,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; job; employment,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2222,"% of respondents who indicated ""because I no longer have a family in Ukraine"" as one of the main reasons for not hoping to return to Ukraine one day",13,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2223,"% of respondents who indicated ""lack of basic services in Ukraine"" as one of the main reasons for not hoping to return to Ukraine one day",29,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; basic services; livelihoods,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,Local solutions,"self-reliance, economic inclusion and livelihoods",December 2022 to May 2224,% of respondents who can speak the main language in the host country,23,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,host country; local language,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,Local solutions,"self-reliance, economic inclusion and livelihoods",December 2022 to May 2225,% of respondents who can speak the main language in the host country,19,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,host country; local language,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,Local solutions,"self-reliance, economic inclusion and livelihoods",December 2022 to May 2226,% of respondents who can speak the main language in the host country,15,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,host country; local language,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,Local solutions,"self-reliance, economic inclusion and livelihoods",December 2022 to May 2227,% of respondents who can speak the main language in the host country,30,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,host country; local language,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,Local solutions,"self-reliance, economic inclusion and livelihoods",December 2022 to May 2228,% of respondents who can speak the main language in the host country,42,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,host country; local language,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,Local solutions,"self-reliance, economic inclusion and livelihoods",December 2022 to May 2229,% of respondents who can speak the main language in the host country,10,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,host country; local language,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,Local solutions,"self-reliance, economic inclusion and livelihoods",December 2022 to May 2230,% of respondents who can speak the main language in the host country,27,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,host country; local language,yes,yes,yes,,
